,text,created_at,author_id,id,edit_history_tweet_ids
83,"For a few moments, Cazes tugged at the gate, trying to get it back on its rails. Then he saw that one of the undercover agents, who had been posing as an electrician, was now sprinting towards him and wearing a police vest. 6/14",2022-11-22T14:54:40.000Z,1344951,1595068252006514688,['1595068252006514688']
84,"The undercover agent behind the wheel, doggedly playing her part, shouted—as loudly as possible, trying to project so that Cazes could hear inside the house—that she needed to pay for the damage. A few seconds later, the kingpin finally emerged out of the house. 5/14",2022-11-22T14:54:40.000Z,1344951,1595068249842286592,['1595068249842286592']
85,"Police signaled for undercover agents to launch their plan: Crashing a Toyota Camry into his gate in an effort to lure him away from his laptop. Seconds later, a loud clang rang out across the cul-de-sac, Cazes’s wife came out of the house to assess the situation. 4/14",2022-11-22T14:54:39.000Z,1344951,1595068247971430400,['1595068247971430400']
86,"But before the team in Lithuania could finish their work, they accidentally crashed the AlphaBay server. It was now only a matter of time before Cazes realized something was amiss. The moment he closed his laptop, triggering its encryption, the operation would be over. 3/14 https://t.co/17OIqywZ9K",2022-11-22T14:54:39.000Z,1344951,1595068245287272451,['1595068245287272451']
87,"In a war-room across the city, agents and prosecutors monitored video-feeds of the scene. At the center of the long table was a conference phone connected to both the Thai team on the ground and another team of agents in Lithuania, tasked with imaging the AlphaBay server. 2/14",2022-11-22T14:54:38.000Z,1344951,1595068241260564480,['1595068241260564480']
88,"On the morning of July 5th, on the Bangkok street where Alexandre Cazes lived, half a dozen undercover agents waited for their cues to begin an elaborate sting. The goal: To take down AlphaBay’s boss once and for all. 🎨: @hogingkim https://t.co/OxMZkgePCj 1/14 https://t.co/Cyd0OmME8S",2022-11-22T14:54:37.000Z,1344951,1595068237636833282,['1595068237636833282']
89,"Whether you want to battle Star Wars spaceships or shoot a cinematic masterpiece, we've got a great drone option for you. https://t.co/P541icRkDX",2022-11-22T14:32:06.000Z,1344951,1595062569970143232,['1595062569970143232']
90,Here are the ideas from COP27 that are likely to be successful—as well as those that aren’t. https://t.co/bunZL9FQ7q,2022-11-22T14:10:25.000Z,1344951,1595057116351381505,['1595057116351381505']
91,"Is Moore’s law really dead? https://t.co/PTfp8mcxdC
📷: Shawn Michael Jones https://t.co/coDZQklp4p",2022-11-22T14:03:03.000Z,1344951,1595055262557143049,['1595055262557143049']
92,"The fate of users who left Facebook may provide clues to a post-Twitter world: https://t.co/6PrPOdBhGu
🎨: WIRED Staff; Getty https://t.co/ajQ8vHmk3B",2022-11-22T13:04:02.000Z,1344951,1595040410379833344,['1595040410379833344']
93,"On the morning of July 5th, on the Bangkok street where Alexandre Cazes lived, half a dozen undercover agents waited for their cues to begin an elaborate sting. The goal: To take down AlphaBay’s boss once and for all. https://t.co/pPfQgGHmcv",2022-11-22T12:02:04.000Z,1344951,1595024813864656897,['1595024813864656897']
94,"WIRED WORLD 2023: Join us at 11:30am PST / 7:30 BST @TwitterSpaces for a discussion on the impact of microbial technology on climate change in 2023 and beyond with Guy Hudson, the co-founder and CEO of @loambio
. 
RSVP here: https://t.co/33TAKVXxZM https://t.co/iVm6E7ajgy",2022-11-22T11:26:05.000Z,1344951,1595015757494206465,['1595015757494206465']
95,"Here’s an odd climate contradiction. If we burn less gas, oil, and coal, we’ll stop loading the sky with planet-warming carbon, but we’ll also load it with fewer planet-cooling aerosols. https://t.co/fuZVAQDRRa",2022-11-22T11:04:02.000Z,1344951,1595010210682220544,['1595010210682220544']
96,"As more people begin to ponder and experiment with generative AI, there will probably be more lawsuits too. https://t.co/YMniZbsgEB",2022-11-22T10:35:06.000Z,1344951,1595002929320108032,['1595002929320108032']
97,"When it comes to issues like climate change, too many let the perfect become the enemy of the good, while the world burns. https://t.co/26xj2HQwcA",2022-11-22T10:04:03.000Z,1344951,1594995115248046081,['1594995115248046081']
98,"Let's face it, teenagers are straight-up intimidating. No cap (?) So we informally polled some of the terrifying super-cool teens in our lives to find out what presents they really want. 

Click the link to be lowkey goated (?): https://t.co/yO2JV0BEPr

📸: Nintendo https://t.co/PVJvLDYXTx",2022-11-22T09:00:24.000Z,1344951,1594979094781124608,['1594979094781124608']
99,Skip the Black Friday chaos and get in on these early tech deals. https://t.co/Spi6DQCdNb,2022-11-22T08:30:16.000Z,1344951,1594971513035411456,['1594971513035411456']
